City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,haapiti,-17.5667,-149.8667,77.72,78,98,19.66,PF,1667554112
84,seoul,37.5683,126.9778,45.84,30,0,9.22,KR,1667554066
85,hilo,19.7297,-155.09,74.62,99,100,8.05,US,1667554114
86,new norfolk,-42.7826,147.0587,54.91,63,84,1.01,AU,1667554114
87,east london,-33.0153,27.9116,76.14,64,40,11.5,ZA,1667554115
88,palu,-0.8917,119.8707,81.75,90,44,1.83,ID,1667554116
89,karratha,-20.7377,116.8463,87.13,26,0,9.57,AU,1667554117
90,kathmandu,27.7167,85.3167,73.62,43,20,3.44,NP,1667554077
91,gazli,40.1333,63.45,66.25,43,1,13.11,UZ,1667554119
92,esperance,-33.8667,121.9,64.11,80,96,18.81,AU,1667554120
93,ambilobe,-13.2,49.05,96.67,23,6,2.04,MG,1667554122
94,olafsvik,64.8945,-23.7142,40.59,87,75,11.36,IS,1667554123
95,omsukchan,62.5333,155.8,6.26,93,100,1.39,RU,1667554124
96,vardo,70.3705,31.1107,41.11,89,100,16.37,NO,1667554125
97,shakawe,-18.3667,21.85,87.84,37,56,6.4,BW,1667554126
98,sistranda,63.7256,8.834,53.56,80,100,1.74,NO,1667554127
99,hovd,48.0056,91.6419,34.9,47,48,3.15,MN,1667554129
100,souillac,-20.5167,57.5167,82.78,57,40,16.11,MU,1667554130
101,khatanga,71.9667,102.5,-7.19,97,100,4.81,RU,1667554131
102,port elizabeth,-33.918,25.5701,82.09,73,20,18.41,ZA,1667554020
103,peleduy,59.6289,112.7406,11.16,87,52,4.88,RU,1667554134
104,victoria,22.2855,114.1577,75.38,85,42,13.0,HK,1667553988
105,rio grande,-32.035,-52.0986,57.42,68,7,10.71,BR,1667554135
106,plettenberg bay,-34.0527,23.3716,70.48,72,36,9.01,ZA,1667554136
107,makakilo city,21.3469,-158.0858,78.01,76,0,5.75,US,1667554137
108,dubbo,-32.25,148.6167,60.46,71,97,6.26,AU,1667554138
109,lavumisa,-27.31,31.892,87.1,47,95,7.81,SZ,1667554139
110,paramonga,-10.6667,-77.8333,61.25,90,55,6.08,PE,1667554140
111,knysna,-34.0363,23.0471,74.62,63,49,7.76,ZA,1667554142
112,fonte boa,-2.4959,-66.2662,71.08,86,100,2.68,BR,1667554143
113,moche,-8.1711,-79.0092,60.98,88,100,6.91,PE,1667554144
114,tuktoyaktuk,69.4541,-133.0374,4.64,93,100,10.13,CA,1667554145
115,taltal,-25.4,-70.4833,57.96,81,58,1.48,CL,1667554146
116,odessa,46.4775,30.7326,52.38,61,25,1.25,UA,1667554147
117,albany,42.6001,-73.9662,51.31,76,2,2.48,US,1667554080
